Audio,Precision (macro avg),Recall (macro avg),F1-Score (macro avg)
../../RawDataset/MTP_1617476751923/HH_MTP.wav,1.0,1.0,1.0
../../RawDataset/MTP_1617476751923/Snare_MTP.wav,1.0,1.0,1.0
../../RawDataset/MTP_1617476751923/Kick_MTP.wav,1.0,1.0,1.0
../../RawDataset/MTP_1617476751923/Freestyle_MTP.wav,1.0,1.0,1.0
../../RawDataset/MAF/MafP2.wav,0.9629629629629629,0.9629629629629629,0.9607843137254902
../../RawDataset/MAF/MafI2.wav,1.0,1.0,1.0
../../RawDataset/AZI/AZiI2.wav,1.0,1.0,1.0
../../RawDataset/AZI/AZiP2.wav,0.9629629629629629,0.9629629629629629,0.9607843137254902
../../RawDataset/LML_1617020140983/HH_LML.wav,1.0,1.0,1.0
../../RawDataset/LML_1617020140983/Snare_LML.wav,1.0,1.0,1.0
../../RawDataset/LML_1617020140983/Freestyle_LML.wav,1.0,1.0,1.0
../../RawDataset/LML_1617020140983/Kick_LML.wav,1.0,1.0,1.0
../../RawDataset/JVS_1617180378425/HH_JVS.wav,1.0,1.0,1.0
../../RawDataset/JVS_1617180378425/Kick_JVS.wav,1.0,1.0,1.0
../../RawDataset/JVS_1617180378425/Snare_JVS.wav,0.0,0.0,0.0
../../RawDataset/JVS_1617180378425/Freestyle_JVS.wav,1.0,1.0,1.0
../../RawDataset/BIC/BicI2.wav,1.0,1.0,1.0
../../RawDataset/BIC/BicP2.wav,1.0,1.0,1.0
../../RawDataset/MOB_1616751225808/Freestyle_MOB.wav,1.0,1.0,1.0
../../RawDataset/MOB_1616751225808/Kick_MOB.wav,1.0,1.0,1.0
../../RawDataset/MOB_1616751225808/HH_MOB.wav,1.0,1.0,1.0
../../RawDataset/MOB_1616751225808/Snare_MOB.wav,1.0,1.0,1.0
../../RawDataset/CAT/CatP2.wav,1.0,1.0,1.0
../../RawDataset/CAT/CatI2.wav,1.0,1.0,1.0
../../RawDataset/ISA/IsaI2.wav,1.0,1.0,1.0
../../RawDataset/ISA/IsaP2.wav,0.9333333333333332,0.8333333333333334,0.8518518518518517
../../RawDataset/APL_1616757118902/Freestyle_APL.wav,1.0,1.0,1.0
../../RawDataset/APL_1616757118902/HH_APL.wav,1.0,1.0,1.0
../../RawDataset/APL_1616757118902/Snare_APL.wav,1.0,1.0,1.0
../../RawDataset/APL_1616757118902/Kick_APL.wav,1.0,1.0,1.0
../../RawDataset/OBH_1617275905744/HH_OBH.wav,1.0,1.0,1.0
../../RawDataset/OBH_1617275905744/Snare_OBH.wav,1.0,1.0,1.0
../../RawDataset/OBH_1617275905744/Kick_OBH.wav,1.0,1.0,1.0
../../RawDataset/OBH_1617275905744/Freestyle_OBH.wav,1.0,1.0,1.0
../../RawDataset/MSF_1616750364871/Snare_MSF.wav,0.5,0.4,0.4444444444444445
../../RawDataset/MSF_1616750364871/HH_MSF.wav,1.0,1.0,1.0
../../RawDataset/MSF_1616750364871/Kick_MSF.wav,1.0,1.0,1.0
../../RawDataset/MSF_1616750364871/Freestyle_MSF.wav,0.8888888888888888,0.8333333333333334,0.8222222222222223
../../RawDataset/ZGA/ZgaP2.wav,1.0,1.0,1.0
../../RawDataset/ZGA/ZgaI2.wav,0.9696969696969697,0.9666666666666667,0.9665831244778613
../../RawDataset/ARF_1616756270238/Kick_ARF.wav,1.0,1.0,1.0
../../RawDataset/ARF_1616756270238/Freestyle_ARF.wav,0.9500000000000001,0.9565217391304347,0.9497171590194845
../../RawDataset/ARF_1616756270238/HH_ARF.wav,0.5,0.475,0.48717948717948717
../../RawDataset/ARF_1616756270238/Snare_ARF.wav,1.0,1.0,1.0
../../RawDataset/IGN_1616754663660/HH_IGN.wav,1.0,1.0,1.0
../../RawDataset/IGN_1616754663660/Snare_IGN.wav,1.0,1.0,1.0
../../RawDataset/IGN_1616754663660/Kick_IGN.wav,1.0,1.0,1.0
../../RawDataset/IGN_1616754663660/Freestyle_IGN.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617018989017/Kick_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617018989017/Snare_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617018989017/Freestyle_JMP.wav,0.9652777777777778,0.9558080808080809,0.9594854070660522
../../RawDataset/JMP_1617018989017/HH_JMP.wav,1.0,1.0,1.0
../../RawDataset/ZIZ/ZizP2.wav,0.9333333333333332,0.9523809523809524,0.9373219373219372
../../RawDataset/ZIZ/ZizI2.wav,0.9333333333333332,0.9166666666666666,0.9153439153439153
../../RawDataset/AFR/AFRP2.wav,1.0,1.0,1.0
../../RawDataset/AFR/AFRI2.wav,0.9855072463768115,0.9166666666666666,0.944973544973545
../../RawDataset/RIC/RicP2.wav,1.0,1.0,1.0
../../RawDataset/RIC/RicI2.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019223452/Kick_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019223452/Snare_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019223452/Freestyle_JMP.wav,0.9333333333333332,0.9333333333333332,0.9259259259259259
../../RawDataset/JMP_1617019223452/HH_JMP.wav,1.0,1.0,1.0
../../RawDataset/ACS_1617276025118/Kick_ACS.wav,1.0,1.0,1.0
../../RawDataset/ACS_1617276025118/HH_ACS.wav,1.0,1.0,1.0
../../RawDataset/ACS_1617276025118/Freestyle_ACS.wav,1.0,1.0,1.0
../../RawDataset/ACS_1617276025118/Snare_ACS.wav,1.0,1.0,1.0
../../RawDataset/CAV/CavI2.wav,0.8333333333333334,0.9791666666666666,0.8781362007168458
../../RawDataset/CAV/CavP2.wav,0.9333333333333332,0.9583333333333334,0.9407407407407408
../../RawDataset/JSO/JSoI2.wav,1.0,1.0,1.0
../../RawDataset/CRA/CraI2.wav,1.0,1.0,1.0
../../RawDataset/CRA/CraP2.wav,0.9583333333333334,0.9629629629629629,0.9581699346405229
../../RawDataset/ROB/RobI2.wav,1.0,1.0,1.0
../../RawDataset/ROB/RobP2.wav,0.9629629629629629,0.9629629629629629,0.9607843137254902
../../RawDataset/JOL/JOlP2.wav,1.0,1.0,1.0
../../RawDataset/JOL/JOlI2.wav,1.0,1.0,1.0
../../RawDataset/JSI/JSiI2.wav,0.9166666666666666,0.9607843137254902,0.9315476190476191
../../RawDataset/JSI/JSiP2.wav,1.0,1.0,1.0
../../RawDataset/OBM_1616754438559/Freestyle_OBM.wav,1.0,1.0,1.0
../../RawDataset/OBM_1616754438559/Kick_OBM.wav,1.0,1.0,1.0
../../RawDataset/OBM_1616754438559/HH_OBM.wav,1.0,1.0,1.0
../../RawDataset/OBM_1616754438559/Snare_OBM.wav,1.0,1.0,1.0
../../RawDataset/SOF/SofP2.wav,0.9333333333333332,0.9523809523809524,0.9373219373219372
../../RawDataset/SOF/SofI2.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/Kick_SPS.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/Snare_SPS.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/HH_SPS.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/Freestyle_SPS.wav,1.0,1.0,1.0
../../RawDataset/NOR/NorP2.wav,1.0,1.0,1.0
../../RawDataset/NOR/NorI2.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019148273/Kick_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019148273/Snare_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019148273/Freestyle_JMP.wav,0.8690476190476191,0.9,0.8796296296296297
../../RawDataset/JMP_1617019148273/HH_JMP.wav,1.0,1.0,1.0
../../RawDataset/MCO/MCoP2.wav,1.0,1.0,1.0
../../RawDataset/MCO/MCoI2.wav,1.0,1.0,1.0
../../RawDataset/MFU_1617025839878/Kick_MFU.wav,1.0,1.0,1.0
../../RawDataset/MFU_1617025839878/HH_MFU.wav,1.0,1.0,1.0
../../RawDataset/MFU_1617025839878/Freestyle_MFU.wav,0.8571428571428571,0.9333333333333332,0.872053872053872
../../RawDataset/MFU_1617025839878/Snare_MFU.wav,1.0,1.0,1.0
../../RawDataset/BEA/BeaP2.wav,0.9583333333333334,0.9166666666666666,0.9301587301587301
../../RawDataset/BEA/BeaI2.wav,0.9074074074074074,0.8333333333333334,0.8389780154486037
../../RawDataset/MAR/MarP2.wav,0.9259259259259259,0.8796296296296297,0.8911064425770309
../../RawDataset/MAR/MarI2.wav,0.9523809523809524,0.9333333333333332,0.9373219373219372
../../RawDataset/VGM_1617276144132/Kick_VGM.wav,1.0,1.0,1.0
../../RawDataset/VGM_1617276144132/Freestyle_VGM.wav,1.0,1.0,1.0
../../RawDataset/VGM_1617276144132/HH_VGM.wav,1.0,1.0,1.0
../../RawDataset/VGM_1617276144132/Snare_VGM.wav,1.0,1.0,1.0
../../RawDataset/JOS/JoSP2.wav,1.0,1.0,1.0
../../RawDataset/ND_1617474893180/HH_ND.wav,1.0,1.0,1.0
../../RawDataset/ND_1617474893180/Freestyle_ND.wav,0.8888888888888888,0.9166666666666666,0.8857142857142858
../../RawDataset/ND_1617474893180/Kick_ND.wav,0.5,0.3333333333333333,0.4
../../RawDataset/ND_1617474893180/Snare_ND.wav,1.0,1.0,1.0
